iso3,year,phys_inactive_pct
ECU,2018,22.2
ECU,2019,22.3
EGY,2010,32.0
EGY,2011,32.2
EGY,2012,32.3
EGY,2013,32.4
EGY,2014,32.6
EGY,2015,32.7
EGY,2016,32.9
EGY,2017,33.1
EGY,2018,33.2
EGY,2019,33.3
ERI,2010,12.3
ERI,2011,12.2
ERI,2012,12.1
ERI,2013,12.0
ERI,2014,11.9
ERI,2015,11.8
ERI,2016,11.8
ERI,2017,11.7
ERI,2018,11.7
ERI,2019,11.7
ESP,2010,32.6
ESP,2011,31.6
ESP,2012,30.7
ESP,2013,29.7
ESP,2014,28.8
ESP,2015,27.9
ESP,2016,26.9
ESP,2017,26.0
ESP,2018,25.1
ESP,2019,24.3
EST,2010,14.2
EST,2011,14.3
EST,2012,14.4
EST,2013,14.6
EST,2014,14.7
EST,2015,14.9
EST,2016,15.0
EST,2017,15.2
EST,2018,15.3
EST,2019,15.5
ETH,2010,11.4
ETH,2011,11.2
ETH,2012,11.0
ETH,2013,10.8
ETH,2014,10.6
ETH,2015,10.4
ETH,2016,10.2
ETH,2017,10.0
ETH,2018,9.9
ETH,2019,9.8
FIN,2010,17.8
FIN,2011,16.9
FIN,2012,16.1
FIN,2013,15.3
FIN,2014,14.5
FIN,2015,13.8
FIN,2016,13.1
FIN,2017,12.4
FIN,2018,11.8
FIN,2019,11.2
FJI,2010,19.0
FJI,2011,18.6
FJI,2012,18.2
FJI,2013,17.9
FJI,2014,17.5
FJI,2015,17.2
FJI,2016,16.9
FJI,2017,16.6
FJI,2018,16.4
FJI,2019,16.1
FRA,2010,32.1
FRA,2011,31.3
FRA,2012,30.5
FRA,2013,29.7
FRA,2014,29.0
FRA,2015,28.2
FRA,2016,27.4
FRA,2017,26.7
FRA,2018,25.9
FRA,2019,25.2
FSM,2010,36.9
FSM,2011,36.1
FSM,2012,35.4
FSM,2013,34.8
FSM,2014,34.1
FSM,2015,33.4
FSM,2016,32.8
FSM,2017,32.1
FSM,2018,31.5
FSM,2019,31.0
GAB,2010,23.0
GAB,2011,22.8
GAB,2012,22.5
GAB,2013,22.2
GAB,2014,22.0
GAB,2015,21.8
GAB,2016,21.6
GAB,2017,21.4
GAB,2018,21.3
GAB,2019,21.1
GBR,2010,29.0
GBR,2011,28.1
GBR,2012,27.2
GBR,2013,26.3
GBR,2014,25.4
GBR,2015,24.5
GBR,2016,23.7
GBR,2017,22.8
GBR,2018,22.0
GBR,2019,21.2
GEO,2010,18.7
GEO,2011,19.1
GEO,2012,19.5
GEO,2013,20.0
GEO,2014,20.4
GEO,2015,20.8
GEO,2016,21.3
GEO,2017,21.7
GEO,2018,22.2
GEO,2019,22.6
GHA,2010,19.0
GHA,2011,19.1
GHA,2012,19.2
GHA,2013,19.3
GHA,2014,19.5
GHA,2015,19.6
GHA,2016,19.8
GHA,2017,20.0
GHA,2018,20.2
GHA,2019,20.4
GIN,2010,18.0
GIN,2011,17.8
GIN,2012,17.6
GIN,2013,17.4
GIN,2014,17.3
GIN,2015,17.1
GIN,2016,17.0
GIN,2017,16.9
GIN,2018,16.8
GIN,2019,16.8
GMB,2010,21.9
GMB,2011,21.8
GMB,2012,21.6
GMB,2013,21.5
GMB,2014,21.4
GMB,2015,21.3
GMB,2016,21.2
GMB,2017,21.2
GMB,2018,21.1
GMB,2019,21.1
GNB,2010,19.3
GNB,2011,19.1
GNB,2012,18.8
GNB,2013,18.6
GNB,2014,18.4
GNB,2015,18.3
GNB,2016,18.1
GNB,2017,18.0
GNB,2018,17.9
GNB,2019,17.8
GNQ,2010,21.8
GNQ,2011,21.6
GNQ,2012,21.3
GNQ,2013,21.0
GNQ,2014,20.8
GNQ,2015,20.5
GNQ,2016,20.3
GNQ,2017,20.2
GNQ,2018,20.0
GNQ,2019,19.8
GRC,2010,32.0
GRC,2011,32.3
GRC,2012,32.5
GRC,2013,32.8
GRC,2014,33.0
GRC,2015,33.3
GRC,2016,33.6
GRC,2017,33.8
GRC,2018,34.1
GRC,2019,34.4
GRD,2010,30.8
GRD,2011,31.2
GRD,2012,31.5
GRD,2013,31.9
GRD,2014,32.3
GRD,2015,32.8
GRD,2016,33.2
GRD,2017,33.6
GRD,2018,34.1
GRD,2019,34.5
GTM,2010,20.0
GTM,2011,21.2
GTM,2012,22.4
GTM,2013,23.7
GTM,2014,25.1
GTM,2015,26.5
GTM,2016,27.9
GTM,2017,29.3
GTM,2018,30.8
GTM,2019,32.2
GUY,2010,29.8
