iso3,year,life_expectancy
DJI,2015,62.833
DJI,2016,63.335
DJI,2017,63.71
DJI,2018,64.105
DJI,2019,64.381
DMA,2010,71.68
DMA,2011,71.517
DMA,2012,71.391
DMA,2013,71.228
DMA,2014,71.189
DMA,2015,69.968
DMA,2016,71.189
DMA,2017,68.62
DMA,2018,71.378
DMA,2019,71.305
DNK,2010,79.1
DNK,2011,79.8
DNK,2012,80.0512195121951
DNK,2013,80.3
DNK,2014,80.7
DNK,2015,80.7024390243902
DNK,2016,80.8536585365854
DNK,2017,81.1024390243903
DNK,2018,80.9536585365854
DNK,2019,81.4512195121951
DOM,2010,72.039
DOM,2011,72.496
DOM,2012,72.817
DOM,2013,73.038
DOM,2014,73.145
DOM,2015,72.982
DOM,2016,72.889
DOM,2017,73.37
DOM,2018,73.555
DOM,2019,73.112
DZA,2010,74.144
DZA,2011,74.383
DZA,2012,74.609
DZA,2013,74.809
DZA,2014,74.992
DZA,2015,75.159
DZA,2016,75.31
DZA,2017,75.431
DZA,2018,75.555
DZA,2019,75.682
ECU,2010,75.188
ECU,2011,75.179
ECU,2012,75.486
ECU,2013,75.832
ECU,2014,76.141
ECU,2015,76.222
ECU,2016,76.094
ECU,2017,76.22
ECU,2018,77.248
ECU,2019,77.286
EGY,2010,69.078
EGY,2011,69.232
EGY,2012,69.464
EGY,2013,69.632
EGY,2014,69.911
EGY,2015,70.135
EGY,2016,70.437
EGY,2017,70.709
EGY,2018,70.974
EGY,2019,71.213
ERI,2010,63.665
ERI,2011,64.231
ERI,2012,64.697
ERI,2013,65.005
ERI,2014,65.517
ERI,2015,65.909
ERI,2016,66.242
ERI,2017,66.612
ERI,2018,66.979
ERI,2019,67.306
ESP,2010,81.6268292682927
ESP,2011,82.4756097560976
ESP,2012,82.4268292682927
ESP,2013,83.0780487804878
ESP,2014,83.2292682926829
ESP,2015,82.8317073170732
ESP,2016,83.3292682926829
ESP,2017,83.2829268292683
ESP,2018,83.4317073170732
ESP,2019,83.8317073170732
EST,2010,75.4292682926829
EST,2011,76.2292682926829
EST,2012,76.3268292682927
EST,2013,77.1414634146341
EST,2014,77.0341463414634
EST,2015,77.590243902439
EST,2016,77.6414634146342
EST,2017,78.0926829268293
EST,2018,78.2439024390244
EST,2019,78.6463414634147
ETH,2010,59.709
ETH,2011,60.595
ETH,2012,61.443
ETH,2013,62.161
ETH,2014,62.927
ETH,2015,63.592
ETH,2016,64.162
ETH,2017,64.766
ETH,2018,65.257
ETH,2019,65.741
FIN,2010,79.8707317073171
FIN,2011,80.4707317073171
FIN,2012,80.6268292682927
