iso3,year,life_expectancy,alcohol_lpa,tobacco_pct,phys_inactive_pct,pm25_ugm3,gdp_pc_usd
MYS,2010,75.376,0.6,26.0,41.0,17.5673365579308,8899.34505544675
MYS,2015,75.288,0.65,24.0,40.5,16.9297330913892,9648.6797937523
NAM,2010,56.093,4.96,19.4,31.8,21.7959533803297,5418.21633365814
NAM,2015,60.008,6.01,16.9,28.7,22.11922822913,4774.10650865775
NER,2010,57.08,0.17,8.6,19.6,87.9840126481428,474.425692340831
NER,2015,58.85,0.18,8.1,17.8,107.144665250434,485.662574175279
NGA,2010,51.315,5.06,6.1,19.8,49.5384605715282,2202.25672957344
NGA,2015,51.939,4.39,4.7,18.8,77.1229282609024,2585.73360671797
NLD,2010,80.7024390243902,10.2,27.7,14.7,16.3015198382221,51305.7338533973
NLD,2015,81.509756097561,9.38,24.7,12.2,13.1341450114978,45793.8135434697
NOR,2010,80.9975609756098,7.43,26.6,33.8,7.85010783433474,88163.2085931423
NOR,2015,82.3048780487805,6.83,20.5,34.2,6.75214227846257,74809.9658049898
NPL,2010,66.772,0.95,44.0,9.6,48.378383727955,585.278491984574
NPL,2015,67.374,1.22,36.3,8.9,70.9361955250807,875.543635474862
NRU,2010,60.074,4.16,55.6,39.8,5.65991469593581,4723.91708258679
NRU,2015,60.897,2.94,52.6,37.8,5.64757051079538,7703.43149943923
NZL,2010,80.9048780487805,10.28,20.1,20.4,6.96830513959859,33761.9009639947
NZL,2015,81.6124390243903,9.69,16.4,19.7,6.57020164227168,38665.3723018158
OMN,2010,77.184,0.88,7.9,35.8,42.5453623091529,23570.1798147325
OMN,2015,79.346,0.81,8.1,37.4,47.9189950499705,18808.3077921839
PAK,2010,64.378,0.079,28.0,34.2,46.5708385959715,987.304571124485
PAK,2015,65.641,0.096,23.7,38.9,68.0068767608943,1380.47020838317
PAN,2010,76.417,6.51,8.8,45.2,15.1289454814112,8331.46421351868
PAN,2015,77.583,6.59,7.1,50.5,14.7706187901647,14082.6548502728
PER,2010,72.886,7.54,16.7,28.6,34.7111781547367,5072.11494019615
PER,2015,75.732,7.55,11.7,30.8,32.8751693157181,6231.71150338894
PHL,2010,68.883,6.12,27.7,25.7,23.0284261383751,2162.91375885614
PHL,2015,69.45,5.85,24.4,33.5,19.7079275985218,2909.85818010301
PNG,2010,63.056,1.4,46.6,14.7,17.2144137518733,1866.86889851208
PNG,2015,64.473,1.73,43.5,13.4,16.8683385698187,2484.5963398603
POL,2010,76.2463414634146,11.3,30.9,28.3,26.9664708685675,12567.7317676382
POL,2015,77.4512195121951,11.46,27.6,31.7,22.4139830731908,12637.5220324406
PRT,2010,79.0268292682927,11.4,25.5,46.7,10.7935723715541,22551.935098809
PRT,2015,81.1243902439025,10.54,25.5,48.8,9.64253451834766,19215.7813014347
PRY,2010,72.551,6.37,18.4,28.4,12.3630674150856,4750.96273669322
PRY,2015,73.454,5.41,14.6,31.4,10.4338184152061,5879.33792308671
QAT,2010,79.444,1.17,12.5,49.0,82.4764401970049,77387.3267885308
QAT,2015,81.785,1.17,12.5,50.9,97.7000280042596,68985.2946961507
